pkey;key;guid;pubDate;title;description;category;link
0;index;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_kilenc_aldozat_helikopterbaleset/;Hirdetés nélkül;Nem öt, hanem kilenc áldozata van Kobe Bryant helikopterszerencsétlenségének;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_kilenc_aldozat_helikopterbaleset/;Sun, 26 Jan 2020 23:48:00 +0100;A pilóta és nyolc utas halt meg, erősítette meg a Los Angeles-i seriffhivatal. Az áldozatokat nem nevezték meg.
1;index;https://index.hu/sport/futball/2020/01/26/idegenben_nyert_es_elozott_a_bajnoksagban_a_real_madrid/;Futball;Idegenben nyert, és előzött a bajnokságban a Real Madrid;https://index.hu/sport/futball/2020/01/26/idegenben_nyert_es_elozott_a_bajnoksagban_a_real_madrid/;Sun, 26 Jan 2020 23:31:00 +0100;A Valladolid legyőzésével az élre ugrottak.
2;index;https://index.hu/mindekozben/poszt/2020/01/26/visszakuldtek_a_feladonak_a_radioaktiv_toyota_priust/;Mindeközben;Visszaküldték a feladónak a radioaktív Toyota Priust;https://index.hu/mindekozben/poszt/2020/01/26/visszakuldtek_a_feladonak_a_radioaktiv_toyota_priust/;Sun, 26 Jan 2020 22:50:11 +0100;
3;index;https://index.hu/sport/vizilabda/2020/01/26/vizilabda-eb-donto_magyarorszag_spanyolorszag_nyilatkozatok/;Vízilabda;Vogel Soma ellen nincs esély a büntetőpárbajban;https://index.hu/sport/vizilabda/2020/01/26/vizilabda-eb-donto_magyarorszag_spanyolorszag_nyilatkozatok/;Sun, 26 Jan 2020 22:40:00 +0100;A parádésan védő Nagy Viktor betegség miatt alig tudott aludni az vízilabda-Eb-döntő előtti éjszaka.
4;index;https://index.hu/sport/kosarlabda/2020/01/26/leporgettek_az_idot_igy_emlekeztek_kobe_bryantre_az_nba-ben/;Kosárlabda;Lepörgették az időt, így emlékeztek Kobe Bryantre az NBA-ben;https://index.hu/sport/kosarlabda/2020/01/26/leporgettek_az_idot_igy_emlekeztek_kobe_bryantre_az_nba-ben/;Sun, 26 Jan 2020 22:39:00 +0100;A játékosok nem sokkal a mérkőzésük előtt értesültek az NBA-legenda haláláról.
5;index;https://index.hu/belfold/2020/01/26/gyor_polgarmestervalasztas_dezsi_pollreisz_borkai_tanulsagok_gyorsosszefoglalo/;Belföld;Tíz éve tartó győri trend tört meg azzal, hogy összeszedte magát a Fidesz;https://index.hu/belfold/2020/01/26/gyor_polgarmestervalasztas_dezsi_pollreisz_borkai_tanulsagok_gyorsosszefoglalo/;Sun, 26 Jan 2020 22:24:00 +0100;De kiderült az is, hogy egyre kevéssé tudják a kis jelöltek szétzilálni az ellenzéki összefogást. A győri választás gyors tanulságai.
6;index;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_meghalt_reakciok/;Kosárlabda;Sokk és értetlenség a sportvilágban Kobe Bryant halála miatt;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_meghalt_reakciok/;Sun, 26 Jan 2020 21:43:00 +0100;Az NBA-sztárok mellett NFL-játékosok, labdarúgók is együttérzésüket fejezték ki. Több NBA-meccs is emlékezéssel kezdődött.
7;index;https://index.hu/mindekozben/poszt/2020/01/26/de_miert_van_az_hogy_a_hold_pontosan_kitakarja_a_napot/;Mindeközben;De miért van az, hogy a Hold pontosan kitakarja a Napot?;https://index.hu/mindekozben/poszt/2020/01/26/de_miert_van_az_hogy_a_hold_pontosan_kitakarja_a_napot/;Sun, 26 Jan 2020 21:13:12 +0100;
8;index;https://index.hu/belfold/2020/01/26/gazolas_vonat_vasut_abony_szolnok/;Belföld;Gázolt a vonat Abony és Szolnok között, áll a forgalom;https://index.hu/belfold/2020/01/26/gazolas_vonat_vasut_abony_szolnok/;Sun, 26 Jan 2020 21:08:00 +0100;Pótlóbuszokat állítanak forgalomba.
9;index;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_halal_helikopter-baleset/;Hirdetés nélkül;Helikopter-balesetben meghalt az NBA-legenda Kobe Bryant;https://index.hu/sport/kosarlabda/2020/01/26/kobe_bryant_halal_helikopter-baleset/;Sun, 26 Jan 2020 20:43:00 +0100;Bryant helikoptere vasárnap reggel, Kaliforniában zuhant le, a tragédiában kilencen haltak meg, köztük Bryant 13 éves lánya, Gianna Maria is. Az ötszörös NBA-bajnok 41 éves volt.
10;index;https://index.hu/sport/vizilabda/2020/01/26/marcz_tamas_eb-gyozelem_nyilatkozat_magyarorszag_spanyolorszag/;Vízilabda;Märcz Tamás: Nagyon régóta vártak erre a fiúk!;https://index.hu/sport/vizilabda/2020/01/26/marcz_tamas_eb-gyozelem_nyilatkozat_magyarorszag_spanyolorszag/;Sun, 26 Jan 2020 20:33:00 +0100;Az Eb-győztes pólóválogatott szövetségi kapitánya szerint nehezen indult a döntő a magyaroknak.
11;index;https://index.hu/belfold/2020/01/26/gyor_idokozi_polgarmester_valasztas_reakciok_gratulacio_dezsi_csaba_andras_pollreisz_balasz/;Belföld;Dézsi Csaba András: Ez egy felelős döntés volt a választók részéről;https://index.hu/belfold/2020/01/26/gyor_idokozi_polgarmester_valasztas_reakciok_gratulacio_dezsi_csaba_andras_pollreisz_balasz/;Sun, 26 Jan 2020 20:31:00 +0100;A megválasztott fideszes polgármester szerint még kicsit piros a győriek arca a sorstól kapott pofon után, de ma lezártak egy korszakot.
